<!-- Atlas des flux RSS/ATOM - rubrique politique - langue française - par Saynète http://www.saynete.net - http://atlasflux.saynete.net 22_01_2020 -->
"France Info : Rassemblement National";"https://www.francetvinfo.fr/politique/front-national.rss";"politique";"parti";
"France Info : Union des Démocrates et Indépendants";"https://www.francetvinfo.fr/politique/udi.rss";"politique";"parti";
"France3 : élection munipicales : Provence-Alpes Côte d'Azur";"https://france3-regions.francetvinfo.fr/politique/elections/elections-municipales/rss?r=provence-alpes-cote-d-azur";"politique";
"France3 : Bourgogne-Franche-Comté : politique";"https://france3-regions.francetvinfo.fr/politique/rss?r=bourgogne-franche-comte";"politique";
"France3 : Bretagne : politique";"https://france3-regions.francetvinfo.fr/politique/rss?r=bretagne";"politique";
"France3 : Centre : élections municipales";"https://france3-regions.francetvinfo.fr/politique/elections/elections-municipales/rss?r=centre-val-de-loire";"politique";"election";
"France3 : Centre : politique";"https://france3-regions.francetvinfo.fr/politique/rss?r=centre-val-de-loire";"politique";
"France3 : Europe Écologie Les Verts";"https://france3-regions.francetvinfo.fr/politique/europe-ecologie-les-verts/rss";"politique";"parti";
"France3 : Front de Gauche";"https://france3-regions.francetvinfo.fr/politique/front-de-gauche/rss";"politique";"parti";
"France3 : gilets jaunes";"https://france3-regions.francetvinfo.fr/societe/gilets-jaunes/rss";"politique";"syndicat";
"France3 : La République En Marche";"https://france3-regions.francetvinfo.fr/politique/republique-marche/rss";"politique";"parti";
"France3 : Les Républicains";"https://france3-regions.francetvinfo.fr/politique/les-republicains/rss";"politique";"parti";
"France3 : Marine Le Pen";"https://france3-regions.francetvinfo.fr/politique/rassemblement-national/marine-pen/rss";"politique";"personnalite";
"France3 : Martine Aubry";"https://france3-regions.francetvinfo.fr/politique/martine-aubry/rss";"politique";"personnalite";
"France3 : Paris-Île-de-France : politique";"https://france3-regions.francetvinfo.fr/politique/rss?r=paris-ile-de-france";"politique";
"France3 : Parti Socialiste";"https://france3-regions.francetvinfo.fr/politique/parti-socialiste/rss";"politique";"parti";
"France3 : politique";"https://france3-regions.francetvinfo.fr/politique/rss";"politique";"presse";
"France3 : politique : Occitanie";"https://france3-regions.francetvinfo.fr/politique/rss?r=occitanie";"politique";"presse";
"France3 : politique : Provence-Alpes Côte d'Azur";"https://france3-regions.francetvinfo.fr/politique/rss?r=provence-alpes-cote-d-azur";"politique";"presse";
"France3 : Rassemblement National";"https://france3-regions.francetvinfo.fr/politique/front-national/rss";"politique";"parti";
"France3 : Ségolène Royal";"https://france3-regions.francetvinfo.fr/politique/segolene-royal/rss";"politique";"personnalite";
"FSDL - Fédération des Syndicats Dentaires Libéraux";"https://www.fsdl.fr/feed/";"politique";"syndicat";
"FSU - Fédération Syndicale Unitaire";"http://fsu.fr/feed/";"politique";"syndicat";
"FSU - Fédération Syndicale Unitaire : Bretagne";"https://bretagne.fsu.fr/feed/";"politique";"syndicat";
"Génération S : facebook";"http://flux.saynete.com/fbook_generationslemvt.xml?id=315725672211277";"politique";"parti";
"Génération S : vidéo";"https://www.youtube.com/feeds/videos.xml?channel_id=UC9CNQgPaUY1GlnX_nLPtM-g";"politique";"parti";
"Gaston Bessay économie politique";"http://gbessay.unblog.fr/feed/";"politique";
"Gouvernement.fr : toute l'actualité";"https://www.gouvernement.fr/rss.xml";"politique";
"Hélène Constanty : twitter";"http://twitrss.me/twitter_user_to_rss/?user=hconstanty";"politique";
"Hashtable";"http://h16free.com/feed";"politique";"tribune";
"Histoire et société";"https://histoireetsociete.wordpress.com/feed/";"politique";
"INA : politique : archive : vidéo";"https://www.youtube.com/feeds/videos.xml?channel_id=UCi1h68Fys0apnhLaJ-ijQOw";"politique";"presse";
"Institut des libertés";"https://institutdeslibertes.org/feed/";"politique";"tribune";
"Institut Français de Géopolitique";"https://www.geopolitique.net/fr/feed/";"politique";"tribune";
